rule,rung,mode,metric,window,value,threshold,verdict,od3_row,note
R2,z30_c,copies,"E rho_q_tot, n2",startup,0.0005371066568472773,0.001,reported,Parent validity: Newton,E n1 = 0.005359359822244847
R10,z30_c,copies,"E n2 / E n1, tropo",startup,0.05132491394873194,0.75,reported,Refinement,"E n1 = 0.03408467443123506, E n2 = 0.001749392982153683"
R10,z30_c,copies,"E n2 / E n1, strat",startup,0.041215551422499,0.75,reported,Refinement,"E n1 = 0.026620866072893105, E n2 = 0.0010971936745387846"
R10,z30_c,copies,"E n2 / E n1, evap",startup,0.1955563795014243,0.75,reported,Refinement,"E n1 = 0.044747299998191443, E n2 = 0.008750619980110409"
R10,z30_c,copies,"E n2 / E n1, evap_tropo",startup,0.1955563795014298,0.75,reported,Refinement,"E n1 = 0.04474729999819096, E n2 = 0.00875061998011056"
R10,z30_c,copies,"E n2 / E n1, evap_strat",startup,0.19555637950142826,0.75,reported,Refinement,"E n1 = 0.04474729999819103, E n2 = 0.008750619980110504"
R2,z30_fo,default,"E rho_q_tot, n2",whole 6 h,0.008654916661165161,0.001,reported,Parent validity: Newton,E n1 = 0.036784714043858094
R10,z30_fo,default,"E n2 / E n1, tropo",whole 6 h,0.35220739767667975,0.75,reported,Refinement,"E n1 = 0.026989937485700173, E n2 = 0.009506055645294727"
R10,z30_fo,default,"E n2 / E n1, strat",whole 6 h,0.31840765402248755,0.75,reported,Refinement,"E n1 = 0.03283447458763852, E n2 = 0.010454748024510964"
R10,z30_fo,default,"E n2 / E n1, evap",whole 6 h,0.211524427787451,0.75,reported,Refinement,"E n1 = 0.05737496933294782, E n2 = 0.012136207557474337"
R10,z30_fo,default,"E n2 / E n1, evap_tropo",whole 6 h,0.21152442778746763,0.75,reported,Refinement,"E n1 = 0.057374969332947764, E n2 = 0.012136207557475279"
R10,z30_fo,default,"E n2 / E n1, evap_strat",whole 6 h,0.21152442778744354,0.75,reported,Refinement,"E n1 = 0.057374969332948535, E n2 = 0.01213620755747406"
R2,z30_fo,default,"E rho_q_tot, n2",established,,0.001,not assessable (OD2's rule finds no end of startup),Parent validity: Newton,
R10,z30_fo,default,"E n2 / E n1, each tag",established,,0.75,not assessable (OD2's rule finds no end of startup),Refinement,
R2,z30_fo,copies,"E rho_q_tot, n2",whole 6 h,0.008654916661165161,0.001,reported,Parent validity: Newton,E n1 = 0.036784714043858094
R10,z30_fo,copies,"E n2 / E n1, tropo",whole 6 h,0.2835054200326209,0.75,reported,Refinement,"E n1 = 0.033650428821025334, E n2 = 0.0095400789571826"
R10,z30_fo,copies,"E n2 / E n1, strat",whole 6 h,0.3697618252805954,0.75,reported,Refinement,"E n1 = 0.029926188107981175, E n2 = 0.011065561938497568"
R10,z30_fo,copies,"E n2 / E n1, evap",whole 6 h,0.3701237362279743,0.75,reported,Refinement,"E n1 = 0.0470479038459809, E n2 = 0.01741354595316893"
R10,z30_fo,copies,"E n2 / E n1, evap_tropo",whole 6 h,0.3701237362279793,0.75,reported,Refinement,"E n1 = 0.047047903845980274, E n2 = 0.017413545953168935"
R10,z30_fo,copies,"E n2 / E n1, evap_strat",whole 6 h,0.3701237362279769,0.75,reported,Refinement,"E n1 = 0.04704790384598101, E n2 = 0.017413545953169095"
R2,z30_fo,copies,"E rho_q_tot, n2",established,,0.001,not assessable (OD2's rule finds no end of startup),Parent validity: Newton,
R10,z30_fo,copies,"E n2 / E n1, each tag",established,,0.75,not assessable (OD2's rule finds no end of startup),Refinement,
R2,z60_c,default,"E rho_q_tot, n2",established,0.004084856069369304,0.001,fail,Parent validity: Newton,E n1 = 0.011618596142465047
R10,z60_c,default,"E n2 / E n1, tropo",established,0.2233066310830901,0.75,pass,Refinement,"E n1 = 0.01770378790902905, E n2 = 0.003953373235374821"
R10,z60_c,default,"E n2 / E n1, strat",established,0.12760070286412956,0.75,pass,Refinement,"E n1 = 0.024647863607469667, E n2 = 0.0031450847204123294"
R10,z60_c,default,"E n2 / E n1, evap",established,0.23863600919296973,0.75,pass,Refinement,"E n1 = 0.19317524546395393, E n2 = 0.046098569652390294"
R10,z60_c,default,"E n2 / E n1, evap_tropo",established,0.23863600919297787,0.75,pass,Refinement,"E n1 = 0.19317524546395348, E n2 = 0.04609856965239176"
R10,z60_c,default,"E n2 / E n1, evap_strat",established,0.238636009192974,0.75,pass,Refinement,"E n1 = 0.1931752454639532, E n2 = 0.046098569652390946"
R2,z60_c,default,"E rho_q_tot, n2",whole 6 h,0.0031068795703380787,0.001,reported,Parent validity: Newton,E n1 = 0.010951327735627191
R10,z60_c,default,"E n2 / E n1, tropo",whole 6 h,0.18104934677059892,0.75,reported,Refinement,"E n1 = 0.025846742880171792, E n2 = 0.0046795359146027315"
R10,z60_c,default,"E n2 / E n1, strat",whole 6 h,0.15086842724123972,0.75,reported,Refinement,"E n1 = 0.03296036482368846, E n2 = 0.004972678402247359"
R10,z60_c,default,"E n2 / E n1, evap",whole 6 h,0.2149081857550468,0.75,reported,Refinement,"E n1 = 0.1986579575233684, E n2 = 0.042693221237150254"
R10,z60_c,default,"E n2 / E n1, evap_tropo",whole 6 h,0.21490818575505158,0.75,reported,Refinement,"E n1 = 0.19865795752336812, E n2 = 0.04269322123715114"
R10,z60_c,default,"E n2 / E n1, evap_strat",whole 6 h,0.214908185755049,0.75,reported,Refinement,"E n1 = 0.19865795752336782, E n2 = 0.042693221237150566"
R2,z60_c,default,"E rho_q_tot, n2",startup,0.00124834880815753,0.001,reported,Parent validity: Newton,E n1 = 0.009683261619551978
R10,z60_c,default,"E n2 / E n1, tropo",startup,0.1592406120469107,0.75,reported,Refinement,"E n1 = 0.0338920483622194, E n2 = 0.005396990524723315"
R10,z60_c,default,"E n2 / E n1, strat",startup,0.16171288635379566,0.75,reported,Refinement,"E n1 = 0.0391073944560613, E n2 = 0.0063241696352660986"
R10,z60_c,default,"E n2 / E n1, evap",startup,0.17343919151460316,0.75,reported,Refinement,"E n1 = 0.20902632926572615, E n2 = 0.03625335755311278"
R10,z60_c,default,"E n2 / E n1, evap_tropo",startup,0.17343919151460213,0.75,reported,Refinement,"E n1 = 0.20902632926572615, E n2 = 0.03625335755311256"
R10,z60_c,default,"E n2 / E n1, evap_strat",startup,0.17343919151460177,0.75,reported,Refinement,"E n1 = 0.2090263292657259, E n2 = 0.036253357553112445"
R2,z60_c,copies,"E rho_q_tot, n2",established,0.004084856069369304,0.001,fail,Parent validity: Newton,E n1 = 0.011618596142465047
R10,z60_c,copies,"E n2 / E n1, tropo",established,0.288213868031404,0.75,pass,Refinement,"E n1 = 0.05097102462319625, E n2 = 0.014690556164175327"
R10,z60_c,copies,"E n2 / E n1, strat",established,0.1922623554581138,0.75,pass,Refinement,"E n1 = 0.024174267517646942, E n2 = 0.00464780161441737"
R10,z60_c,copies,"E n2 / E n1, evap",established,0.4853247528615539,0.75,pass,Refinement,"E n1 = 0.03617587869888416, E n2 = 0.01755704938908551"
R10,z60_c,copies,"E n2 / E n1, evap_tropo",established,0.4853247528615753,0.75,pass,Refinement,"E n1 = 0.036175878698883134, E n2 = 0.017557049389085783"
R10,z60_c,copies,"E n2 / E n1, evap_strat",established,0.4853247528615653,0.75,pass,Refinement,"E n1 = 0.03617587869888357, E n2 = 0.017557049389085633"
R2,z60_c,copies,"E rho_q_tot, n2",whole 6 h,0.0031068795703380787,0.001,reported,Parent validity: Newton,E n1 = 0.010951327735627191
R10,z60_c,copies,"E n2 / E n1, tropo",whole 6 h,0.22468878835172693,0.75,reported,Refinement,"E n1 = 0.05747993638750515, E n2 = 0.012915097261442871"
R10,z60_c,copies,"E n2 / E n1, strat",whole 6 h,0.1873654864605141,0.75,reported,Refinement,"E n1 = 0.0371540981274182, E n2 = 0.0069613956696453864"
R10,z60_c,copies,"E n2 / E n1, evap",whole 6 h,0.3720228420681805,0.75,reported,Refinement,"E n1 = 0.05096762070466424, E n2 = 0.01896111910800223"
R10,z60_c,copies,"E n2 / E n1, evap_tropo",whole 6 h,0.3720228420681892,0.75,reported,Refinement,"E n1 = 0.05096762070466359, E n2 = 0.018961119108002432"
R10,z60_c,copies,"E n2 / E n1, evap_strat",whole 6 h,0.372022842068184,0.75,reported,Refinement,"E n1 = 0.050967620704663874, E n2 = 0.018961119108002272"
R2,z60_c,copies,"E rho_q_tot, n2",startup,0.00124834880815753,0.001,reported,Parent validity: Newton,E n1 = 0.009683261619551978
R10,z60_c,copies,"E n2 / E n1, tropo",startup,0.17501023239473962,0.75,reported,Refinement,"E n1 = 0.06385694335609111, E n2 = 0.01117561849676723"
R10,z60_c,copies,"E n2 / E n1, strat",startup,0.18548548833562967,0.75,reported,Refinement,"E n1 = 0.0468016128801193, E n2 = 0.008681020019964025"
R10,z60_c,copies,"E n2 / E n1, evap",startup,0.2734924188999635,0.75,reported,Refinement,"E n1 = 0.07909028764365778, E n2 = 0.02163059407915786"
R10,z60_c,copies,"E n2 / E n1, evap_tropo",startup,0.27349241889996406,0.75,reported,Refinement,"E n1 = 0.07909028764365787, E n2 = 0.02163059407915793"
R10,z60_c,copies,"E n2 / E n1, evap_strat",startup,0.2734924188999617,0.75,reported,Refinement,"E n1 = 0.07909028764365787, E n2 = 0.021630594079157742"
R2,z60_fo,default,"E rho_q_tot, n2",whole 6 h,0.016254021493228715,0.001,reported,Parent validity: Newton,E n1 = 0.05911349106501564
R10,z60_fo,default,"E n2 / E n1, tropo",whole 6 h,0.30412723108846285,0.75,reported,Refinement,"E n1 = 0.04118959886158216, E n2 = 0.012526878651417484"
R10,z60_fo,default,"E n2 / E n1, strat",whole 6 h,0.27004556013593123,0.75,reported,Refinement,"E n1 = 0.03151834119776498, E n2 = 0.008511388103305843"
R10,z60_fo,default,"E n2 / E n1, evap",whole 6 h,0.22049245167571851,0.75,reported,Refinement,"E n1 = 0.08912956384777822, E n2 = 0.019652396049584107"
R10,z60_fo,default,"E n2 / E n1, evap_tropo",whole 6 h,0.22049245167572917,0.75,reported,Refinement,"E n1 = 0.08912956384777738, E n2 = 0.019652396049584873"
R10,z60_fo,default,"E n2 / E n1, evap_strat",whole 6 h,0.2204924516756692,0.75,reported,Refinement,"E n1 = 0.08912956384778212, E n2 = 0.01965239604958057"
R2,z60_fo,default,"E rho_q_tot, n2",established,,0.001,"not assessable (startup ends at 21.0 h, after 6 h)",Parent validity: Newton,
