exclusive_s,inferences,specializations,method
0.135751,78,31,ClimaCore.DataLayouts.getindex /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/indexing.jl:164
0.134534,57,57,ClimaCore.MatrixFields.map /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:80
0.130403,21,21,ClimaCore.MatrixFields.wrapped_prop_names /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name.jl:102
0.129189,45,42,UnrolledUtilities._unrolled_foreach /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:51
0.127488,47,47,Base.rehash! dict.jl:137
0.127037,74,74,UnrolledUtilities.unrolled_split /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:413
0.124887,690,42,Base.invokelatest essentials.jl:1052
0.124163,850,850,ClimaCore.MatrixFields.#45 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:44
0.123666,22,14,ClimaCore.Fields.copy /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Fields/broadcast.jl:91
0.123440,143,136,Base._setindex! dict.jl:322
0.121461,112,47,Base.in operators.jl:1302
0.121328,18,15,ClimaCore.Geometry.* /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Geometry/tensors.jl:549
0.120021,456,456,UnrolledUtilities._unrolled_any /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:17
0.119912,3,3,Base.Sort._sort! sort.jl:1002
0.119316,84,30,Base.getindex abstractarray.jl:1309
0.115129,88,18,Base.SubArray subarray.jl:34
0.110732,70,36,ClimaCore.DataLayouts.#89 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:489
0.109296,2,1,Dates.tryparsenext_internal /dss/dsshome1/0D/di38kez/.julia/juliaup/julia-1.11.9+0.x64.linux.gnu/share/julia/stdlib/v1.11/Dates/src/parse.jl:125
0.109033,4,4,ClimaAtmos.set_covariance_cache_and_cloud_fraction! /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parameterized_tendencies/microphysics/cloud_fraction.jl:33
0.107063,59,59,ClimaCore.Utilities._nested_broadcast /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Utilities/auto_broadcaster.jl:212
0.106833,2027,2024,UnrolledUtilities.unrolled_filter /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:401
0.105511,36,36,ClimaCore.MatrixFields.intersect /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:106
0.105414,3,3,ClimaAtmos.precomputed_quantities /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/cache/precomputed_quantities.jl:158
0.104781,3,3,HDF5.unsafe_convert /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/HDF5/8g5ny/src/properties.jl:7
0.104039,6000,6000,ClimaCore.MatrixFields.#83 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:336
0.103580,2,2,ClimaCore.InputOutput.close /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/InputOutput/readers.jl:188
0.102498,80,72,Base.convert number.jl:7
0.101633,8,8,ClimaCore.Operators.single_column_accumulate! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Operators/integrals.jl:326
0.101151,113,113,Base.Broadcast._axes broadcast.jl:235
0.100724,2178,2177,UnrolledUtilities.#unrolled_mapreduce#36 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:179
0.100554,277,124,Base.Broadcast.materialize broadcast.jl:872
0.099768,9,8,Base.Broadcast.copyto! broadcast.jl:928
0.098825,133,89,ClimaCore.DataLayouts.property_view /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/DataLayouts.jl:306
0.098576,4,4,ClimaAtmos.compute_gm_mixing_length /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/NVTX/IqPon/src/macro.jl:189
0.098442,6130,6130,ClimaCore.MatrixFields.is_child_value /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:324
0.098296,33,23,StaticArrays._mapreduce /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/StaticArrays/k7bbZ/src/mapreduce.jl:153
0.097271,2078,2078,UnrolledUtilities.maybe_ambiguous_promoted_output_type /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/unrollable_iterator_interface.jl:123
0.097038,192,141,Base.Iterators.pairs iterators.jl:279
0.095877,1,1,ClimaAtmos.prescribed_aerosol_parameters /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parameters/create_parameters.jl:398
0.095655,75,40,Base.setindex tuple.jl:55
0.095611,159,159,UnrolledUtilities._unrolled_any /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:15
0.095535,265,263,UnrolledUtilities._unrolled_map /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:5
0.094561,2,2,ClimaAtmos.BeresSourceParameters /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parameters/create_parameters.jl:698
0.092952,54,54,Base.Broadcast.result_style broadcast.jl:457
0.091839,10,1,ClimaAtmos.Internals.ParentBudget.envelope_group /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parent_budget/reduction.jl:137
0.091451,306,262,Base.collect_to_with_first! array.jl:824
0.091226,30,25,Base.filter tuple.jl:529
0.090913,133,63,Base._string strings/substring.jl:240
0.089368,2178,2177,UnrolledUtilities.unrolled_mapreduce /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:179
0.088110,2185,2024,UnrolledUtilities.unrolled_filter_into /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:403
0.087779,118,40,ClimaCore.DataLayouts.view /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/indexing.jl:170
0.087115,92,92,Base._compute_eltype tuple.jl:272
0.087008,100,60,ClimaCore.DataLayouts.struct_field_view /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/struct_storage.jl:105
0.086163,2,2,StaticArrays.setindex! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/StaticArrays/k7bbZ/src/indexing.jl:307
0.086124,2397,200,Base.indexed_iterate pair.jl:42
0.085505,1,1,ClimaAtmos.get_microphysics_1m_options /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/config/model_getters.jl:70
0.083224,10,10,ClimaCore.DataLayouts.propertynames /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/DataLayouts.jl:295
0.082019,37,37,RootSolvers._find_zero_newton /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/RootSolvers/26wKn/src/RootSolvers.jl:1783
0.081407,14,9,ClimaCore.Geometry.* /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Geometry/tensors.jl:561
0.081251,3,3,ClimaAtmos.temporary_quantities /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/cache/temporary_quantities.jl:74
0.081011,1,1,CloudMicrophysics.Parameters.AerosolActivationParameters /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/CloudMicrophysics/2oGgm/src/parameters/AerosolActivation.jl:39
0.080885,358,117,Base.cvt1 essentials.jl:607
0.079567,260,199,Base.Broadcast.broadcasted broadcast.jl:1322
0.079056,44,34,Base.show_delim_array show.jl:1414
0.078771,20,20,OrderedCollections._setindex! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/OrderedCollections/MglBA/src/ordered_dict.jl:310
0.078304,669,46,Base.checkbounds_indices abstractarray.jl:723
0.078224,58,34,ClimaCore.DataLayouts.setindex! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/indexing.jl:159
0.077456,80,80,Base.grow_to! abstractdict.jl:609
0.076778,217,156,ClimaCore.DataLayouts.#rebuild#20 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/DataLayouts.jl:237
0.076339,2,1,ClimaTimeSteppers.#IMEXTableau#68 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaTimeSteppers/DdUag/src/solvers/imex_tableaus.jl:64
0.075917,206,90,ClimaCore.DataLayouts.VIJHWithF /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/DataLayouts.jl:405
0.075813,17,10,ClimaCore.Geometry.adjoint /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Geometry/tensors.jl:505
0.075682,114,113,Base._xfadjoint_unwrap reduce.jl:154
0.075237,35,35,Base.Iterators._zip_iterate_all iterators.jl:433
0.075137,128,21,ClimaCore.Utilities.stable_view /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Utilities/Utilities.jl:216
0.074332,1,1,CloudMicrophysics.Parameters.Snow /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/CloudMicrophysics/2oGgm/src/parameters/Microphysics1M.jl:295
0.074317,2,2,Adapt.adapt /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/Adapt/YzfDi/src/Adapt.jl:48
