# source_tag_extrema.csv, from analysis/reduce_run.jl
# run: d1_column_1m_ice
# generated: 1789122227 (unix)
# geometry: column
# Column geometry: no horizontal remapping, so the reductions are over the model's own levels.
# max |e_src_res| and the min and max of every tag. e_src_res covers the region tags only, so a source tag going negative shows up in the minima and nowhere else.
time,geometry,remapped,max_abs_e_src_res,min_e_src_upper,min_e_src_lower,min_e_src_sfc,min_e_src_mp,min_e_src_new_upper,min_e_src_new_lower,max_e_src_upper,max_e_src_lower,max_e_src_sfc,max_e_src_mp,max_e_src_new_upper,max_e_src_new_lower
1380.0,column,false,1303.4558436658117,5.144783492624802e-28,1.0957018234499055e-37,0.0,0.0,0.0,0.0,103697.96156757323,90088.45769926843,333.9866455147815,0.0,0.0,333.9866455147815
1440.0,column,false,1308.6909981291683,1.1525830993644e-27,2.468293740925097e-37,0.0,0.0,0.0,0.0,103694.24297388749,90089.28828703503,343.4356518478923,0.0,0.0,343.4356518478923
1500.0,column,false,1313.4030674462847,2.484492626254207e-27,5.382576018255945e-37,0.0,0.0,0.0,0.0,103690.57577405687,90090.10652410425,352.70315586299085,0.0,0.0,352.70315586299085
1560.0,column,false,1317.6653333233262,5.169014672716748e-27,1.1392242799222038e-36,0.0,0.0,0.0,0.0,103686.95860660869,90090.91338431224,361.7993394477216,0.0,0.0,361.7993394477216
1620.0,column,false,1321.5418767761585,1.040810856648094e-26,2.3456077758393257e-36,0.0,0.0,0.0,0.0,103683.39000543738,90091.70971113066,370.7334753642696,0.0,0.0,370.7334753642696
1680.0,column,false,1325.0885876328393,2.0332337680620877e-26,4.707766881874795e-36,0.0,0.0,0.0,0.0,103679.8683963511,90092.49624507122,379.514039693658,0.0,0.0,379.514039693658
1740.0,column,false,1328.354406688668,3.8618693975027904e-26,9.227251757660868e-36,0.0,0.0,0.0,0.0,103676.39163213425,90093.27285815879,388.14815413695396,0.0,0.0,388.14815413695396
1800.0,column,false,1331.3813318785978,7.145711729641487e-26,1.7689774978982718e-35,0.0,0.0,0.0,0.0,103672.95819770404,90094.03981595131,396.642705537695,0.0,0.0,396.642705537695
1860.0,column,false,1334.2054790529219,1.2902998240127706e-25,3.3219352823989763e-35,0.0,0.0,0.0,0.0,103669.56685913328,90094.79819163597,405.004743475421,0.0,0.0,405.004743475421
1920.0,column,false,1336.8579296596872,2.2773028863654335e-25,6.118508663122937e-35,0.0,0.0,0.0,0.0,103666.21637045046,90095.5488387808,413.24067464037086,0.0,0.0,413.24067464037086
1980.0,column,false,1339.365340357297,3.9342347567999197e-25,1.1066213910561883e-34,0.0,0.0,0.0,0.0,103662.90550329663,90096.29244670566,421.35635556621116,0.0,0.0,421.35635556621116
2040.0,column,false,1341.7504269021883,6.661582519887625e-25,1.9675174741570792e-34,0.0,0.0,0.0,0.0,103659.63316945413,90097.02974741189,429.3573078133677,0.0,0.0,429.3573078133677
2100.0,column,false,1344.0325862242898,1.1068571541777044e-24,3.442160969189134e-34,0.0,0.0,0.0,0.0,103656.39820282323,90097.76134727876,437.2486092829941,0.0,0.0,437.2486092829941
2160.0,column,false,1346.228351474172,1.8066662869722458e-24,5.930973658877206e-34,0.0,0.0,0.0,0.0,103653.19939244426,90098.48750240965,445.0347356220798,0.0,0.0,445.0347356220798
2220.0,column,false,1348.3516931780905,2.899826421368658e-24,1.0072994887122553e-33,0.0,0.0,0.0,0.0,103650.0355806626,90099.20845921508,452.719877501581,0.0,0.0,452.719877501581
2280.0,column,false,1350.414376730172,4.581144305733458e-24,1.6875430525082522e-33,4.837839802558063e-299,0.0,0.0,4.837839802558063e-299,103646.90566274954,90099.92445357692,460.3079636959973,0.0,0.0,460.3079636959973
2340.0,column,false,1352.4262655174098,7.129392513102125e-24,2.790706406629576e-33,3.334822795934776e-296,0.0,0.0,3.334822795934776e-296,103643.80858570476,90100.63571052029,467.8026821759745,0.0,0.0,467.8026821759745
2400.0,column,false,1354.3956339364522,1.0938255034332495e-23,4.5583974887303345e-33,9.001343355730719e-294,0.0,0.0,9.001343355730719e-294,103640.7433177771,90101.3424320958,475.20748885363207,0.0,0.0,475.20748885363207
2460.0,column,false,1356.3292460634548,1.6556757087999422e-23,7.358733370145135e-33,1.605037284851304e-291,0.0,0.0,1.605037284851304e-291,103637.7088828727,90102.04472619285,482.52556352134155,0.0,0.0,482.52556352134155
2520.0,column,false,1358.232833536822,2.4741496130957293e-23,1.174686428654635e-32,2.1911684172385043e-289,0.0,0.0,2.1911684172385043e-289,103634.70438118213,90102.74282376714,489.7600134175489,0.0,0.0,489.7600134175489
2580.0,column,false,1360.1109913228574,3.652339972202171e-23,1.8551848287529831e-32,2.4470464348570892e-287,0.0,0.0,2.4470464348570892e-287,103631.72896164405,90103.43694563901,496.9137713968326,0.0,0.0,496.9137713968326
2640.0,column,false,1361.9674926692533,5.329216378610697e-23,2.900025530702435e-32,2.3200419850691626e-285,0.0,0.0,2.3200419850691626e-285,103628.78181044082,90104.1272906049,503.98959838501275,0.0,0.0,503.98959838501275
2700.0,column,false,1363.805394489682,7.690201631787787e-23,4.4890559307686703e-32,1.9121880140898395e-283,0.0,0.0,1.9121880140898395e-283,103625.86214932357,90104.81403934406,510.99009839048,0.0,0.0,510.99009839048
2760.0,column,false,1365.6271524790936,1.0980296061188134e-22,6.883721107725363e-32,1.3928866533679025e-281,0.0,0.0,1.3928866533679025e-281,103622.96923389229,90105.49735738881,517.9177315736144,0.0,0.0,517.9177315736144
2820.0,column,false,1367.434722899372,1.552021904207394e-22,1.0460959733052633e-31,9.077256291776822e-280,0.0,0.0,9.077256291776822e-280,103620.10234747868,90106.17739740339,524.7748257251557,0.0,0.0,524.7748257251557
2880.0,column,false,1369.2296497658099,2.172609295336023e-22,1.5759927708908673e-31,5.34254168675796e-278,0.0,0.0,5.34254168675796e-278,103617.26078169896,90106.85430095225,531.5635864300727,0.0,0.0,531.5635864300727
2940.0,column,false,1371.01315327677,3.0133248610152723e-22,2.3545924440427868e-31,2.8613798946940973e-276,0.0,0.0,2.8613798946940973e-276,103614.44389280291,90107.5280985608,538.2860172628441,0.0,0.0,538.2860172628441
3000.0,column,false,1372.786126514242,4.142478469011877e-22,3.4897291329431157e-31,1.4032472687808384e-274,0.0,0.0,1.4032472687808384e-274,103611.65104267097,90108.19894427154,544.9441333407386,0.0,0.0,544.9441333407386
3060.0,column,false,1374.5492513997597,5.646560892849418e-22,5.132272677175559e-31,6.3342152875418335e-273,0.0,0.0,6.3342152875418335e-273,103608.88164388973,90108.86699109714,551.5398575295443,0.0,0.0,551.5398575295443
3120.0,column,false,1376.3030185237585,7.634269406979355e-22,7.4918666909133975e-31,2.64360931317716e-271,0.0,0.0,2.64360931317716e-271,103606.13513676991,90109.53237285648,558.075010646549,0.0,0.0,558.075010646549
3180.0,column,false,1378.047778757944,1.0241236449980247e-21,1.0857910278677076e-30,1.0241041650225201e-269,0.0,0.0,1.0241041650225201e-269,103603.41097693075,90110.1952082979,564.5513207115439,0.0,0.0,564.5513207115439
3240.0,column,false,1379.7837530617398,1.363554823861962e-21,1.5627361836110648e-30,3.695163949501501e-268,0.0,0.0,3.695163949501501e-268,103600.70863658731,90110.85562742212,570.970451311592,0.0,0.0,570.970451311592
3300.0,column,false,1381.5111119490175,1.8024145386263834e-21,2.23413687599675e-30,1.2456864363260123e-266,0.0,0.0,1.2456864363260123e-266,103598.02760745998,90111.51372330936,577.3339635809992,0.0,0.0,577.3339635809992
3360.0,column,false,1383.2299249661883,2.3660199056883875e-21,3.173325839602527e-30,3.934449105627824e-265,0.0,0.0,3.934449105627824e-265,103595.36740254243,90112.16957506015,583.6433409202633,0.0,0.0,583.6433409202633
3420.0,column,false,1384.9402232109715,3.085156390840246e-21,4.4791068779442274e-30,1.167260072244712e-263,0.0,0.0,1.167260072244712e-263,103592.72754915629,90112.82325841597,589.9000023860622,0.0,0.0,589.9000023860622
3480.0,column,false,1386.6420056852076,3.997041125234565e-21,6.2838593247372464e-30,3.2604614880884414e-262,0.0,0.0,3.2604614880884414e-262,103590.10758861451,90113.47484586177,596.105306386211,0.0,0.0,596.105306386211
3540.0,column,false,1388.3352712903288,5.146414799850731e-21,8.763988000545339e-30,8.593335271904402e-261,0.0,0.0,8.593335271904402e-261,103587.50708244402,90114.12440674427,602.2605541389726,0.0,0.0,602.2605541389726
3600.0,column,false,1390.0199332113843,6.586772866632475e-21,1.2153332728938711e-29,2.1413816612042232e-259,0.0,0.0,2.1413816612042232e-259,103584.9256075857,90114.77200319218,608.3669891460216,0.0,0.0,608.3669891460216
