time,form_a_max,form_a_relative,initial_min_lower,initial_min_upper,form_a_max_unrepaired,initial_lower,initial_upper,energy_change,records,form_b
2220.0,0.0,0.0,1.0072994887122553e-33,2.899826421368658e-24,0.0,3.823116411870208e8,2.5450518738212138e8,58422.089319229126,58421.9488161169,0.14050311222672462
2280.0,0.0,0.0,1.6875430525082522e-33,4.581144305733458e-24,0.0,3.823116411870206e8,2.5450518738212147e8,60010.10527431965,60009.964771071674,0.14050324797426583
2340.0,0.0,0.0,2.790706406629576e-33,7.129392513102125e-24,0.0,3.823116411870204e8,2.5450518738212144e8,61598.452743053436,61598.3122399688,0.14050308463629335
2400.0,0.0,0.0,4.5583974887303345e-33,1.0938255034332495e-23,0.0,3.8231164118702024e8,2.5450518738212147e8,63187.12665760517,63186.98615406178,0.14050354339269688
2460.0,0.0,0.0,7.358733370145135e-33,1.6556757087999422e-23,0.0,3.823116411870201e8,2.5450518738212153e8,64776.12217128277,64775.98166803414,0.14050324862910202
2520.0,0.0,0.0,1.174686428654635e-32,2.4741496130957293e-23,0.0,3.8231164118701994e8,2.5450518738212153e8,66365.43464457989,66365.29414107486,0.14050350502657238
2580.0,0.0,0.0,1.8551848287529831e-32,3.652339972202171e-23,0.0,3.8231164118701977e8,2.5450518738212147e8,67955.05961799622,67954.91911460835,0.14050338786910288
2640.0,0.0,0.0,2.900025530702435e-32,5.329216378610697e-23,0.0,3.8231164118701965e8,2.5450518738212144e8,69544.99280273914,69544.85229962728,0.14050311186292674
2700.0,0.0,0.0,4.4890559307686703e-32,7.690201631787787e-23,0.0,3.8231164118701947e8,2.5450518738212144e8,71135.23007011414,71135.08956650343,0.14050361070258077
2760.0,0.0,0.0,6.883721107725363e-32,1.0980296061188134e-22,0.0,3.8231164118701935e8,2.5450518738212144e8,72725.76743793488,72725.62693488828,0.14050304659758694
2820.0,0.0,0.0,1.0460959733052633e-31,1.552021904207394e-22,0.0,3.823116411870191e8,2.5450518738212144e8,74316.60106790066,74316.4605643674,0.14050353325728793
