inclusive_s,method,signature
0.005996,ClimaAtmos.Internals.ParentBudget.build_parent_budget /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parent_budget/adapter.jl:818,Tuple{typeof(Core.kwcall); @NamedTuple{ode_config::ClimaTimeSteppers.IMEXAlgorithm{ClimaTimeSteppers.Unconstrained; ClimaTimeSteppers.ARS222; ClimaTimeSteppers.IMEXTableau{ClimaTimeSteppers.SparseCoeffs{(3; 3); (true; false; false; true; true; false; true; true; true); StaticArraysCore.SMatrix{3; 3; Float64; 9}}; ClimaTimeSteppers.SparseCoeffs{(3;); (false; false; true); StaticArraysCore.SVector{3
0.005983,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{cloud_ice_rain_collision_efficiency::Float64}}}}
0.005980,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{SST_delta::Float64; SST_mean::Float64; SST_wavelength::Float64; SST_wavelength_latitude::Float64}}}}
0.005980,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{gravitational_acceleration::Float64; universal_gas_constant::Float64; molar_mass_dry_air::Float64; adiabatic_exponent_dry_air::Float64; stefan_boltzmann_constant::Float64; avogadro_constant::Float64; molar_mass_water::Float64}}}}
0.005971,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{gravitational_acceleration::Float64; snow_flake_length_scale::Float64; rain_terminal_velocity_size_relation_coefficient_chiv::Float64; rain_terminal_velocity_size_relation_coefficient_ve::Float64; rain_terminal_velocity_size_relation_coefficient_delv::Float64; density_liquid_water::Float64; rain_drop_dr
0.005952,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{cloud_ice_crystals_length_scale::Float64; cloud_ice_apparent_density::Float64; cloud_ice_mass_size_relation_coefficient_delm::Float64; cloud_ice_mass_size_relation_coefficient_me::Float64; cloud_ice_mass_size_relation_coefficient_chim::Float64}}}}
0.005949,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{coefficient_b_h_gryanik::Float64; prandtl_number_0_gryanik::Float64; coefficient_a_h_gryanik::Float64; most_stability_exponent_gryanik::Float64; coefficient_a_m_gryanik::Float64; coefficient_b_m_gryanik::Float64; most_stability_parameter_gryanik::Float64}}}}
0.005945,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{coefficient_b_m_businger::Float64; coefficient_b_h_businger::Float64}}}}
0.005943,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{density_ice_water::Float64; CL1993_local_rime_density_linear_coeff::Float64; CL1993_local_rime_density_quadratic_coeff::Float64; CL1993_local_rime_density_constant_coeff::Float64}}}}
0.005939,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{homogeneous_freezing_timescale::Float64; temperature_homogenous_nucleation::Float64}}}}
0.005937,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{Horn2012_number_concentration_adjustment_timescale::Float64}}}}
0.005936,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{temperature_homogenous_nucleation::Float64; condensation_evaporation_timescale::Float64}}}}
