exclusive_s,inferences,specializations,method
0.081058,14,9,ClimaCore.Geometry.* /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Geometry/tensors.jl:561
0.080656,1,1,ClimaAtmos.get_microphysics_1m_options /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/config/model_getters.jl:70
0.080568,2217,168,Base.indexed_iterate pair.jl:42
0.078428,10,10,ClimaCore.DataLayouts.propertynames /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/DataLayouts.jl:295
0.077820,1,1,CloudMicrophysics.Parameters.AerosolActivationParameters /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/CloudMicrophysics/2oGgm/src/parameters/AerosolActivation.jl:39
0.077651,3,3,ClimaAtmos.temporary_quantities /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/cache/temporary_quantities.jl:74
0.077457,356,116,Base.cvt1 essentials.jl:607
0.076249,17,10,ClimaCore.Geometry.adjoint /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Geometry/tensors.jl:505
0.075976,28,25,UnrolledUtilities._unrolled_foreach /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:51
0.075868,80,80,Base.grow_to! abstractdict.jl:609
0.075150,105,56,Base._string strings/substring.jl:240
0.073396,247,191,Base.Broadcast.broadcasted broadcast.jl:1322
0.073388,2,1,ClimaTimeSteppers.#IMEXTableau#68 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaTimeSteppers/DdUag/src/solvers/imex_tableaus.jl:64
0.073346,1,1,CloudMicrophysics.Parameters.Snow /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/CloudMicrophysics/2oGgm/src/parameters/Microphysics1M.jl:295
0.072988,206,90,ClimaCore.DataLayouts.VIJHWithF /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/DataLayouts.jl:405
0.072017,91,51,ClimaCore.DataLayouts.struct_field_view /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/struct_storage.jl:105
0.071245,82,82,Zygote.map! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/Zygote/dywlZ/src/compiler/interface.jl:473
0.070471,1300,806,Base.!= operators.jl:277
0.070126,39,35,ClimaCore.Geometry.reshape /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Geometry/tensors.jl:424
0.069678,199,156,ClimaCore.DataLayouts.#rebuild#20 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/DataLayouts.jl:237
0.069617,67,28,ClimaCore.DataLayouts.getindex /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/indexing.jl:164
0.068347,1,1,CloudMicrophysics.Parameters.RainParticlePDF_SB2006_limited /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/CloudMicrophysics/2oGgm/src/parameters/Microphysics2M.jl:337
0.068138,54,34,ClimaCore.DataLayouts.setindex! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/indexing.jl:159
0.067579,69,30,ClimaCore.DataLayouts.getindex /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/indexing.jl:220
0.066981,118,20,ClimaCore.Utilities.stable_view /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Utilities/Utilities.jl:216
0.066918,2,2,ClimaAtmos.OrographicGravityWaveParameters /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parameters/create_parameters.jl:663
0.066221,1,1,ClimaAtmos.aerosol_ml_parameters /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parameters/create_parameters.jl:375
0.061736,87,87,UnrolledUtilities._unrolled_all /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:25
0.060830,103,103,Base._xfadjoint_unwrap reduce.jl:154
0.060201,12,12,ClimaCore.MatrixFields.unique_and_non_overlapping_values /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:339
0.059534,4,4,ClimaAtmos.set_buoyancy_gradient_inputs! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/NVTX/IqPon/src/macro.jl:189
0.059460,5,3,CreateParametersExt.InsolationParameters /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/Insolation/Uv3Ub/ext/CreateParametersExt.jl:91
0.059265,84,84,Base.merge_types namedtuple.jl:283
0.058325,84,84,Base.merge_fallback namedtuple.jl:290
0.058085,14,14,CommonDataModel.#cfvariable#14 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/CommonDataModel/xg2OM/src/cfvariable.jl:87
0.057418,4,4,ClimaAtmos.SurfaceConditions.update_surface_conditions! /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/surface_conditions/surface_conditions.jl:22
0.057191,929,884,Base.Fix1 operators.jl:1127
0.056635,6,6,ClimaCore.MatrixFields.#215 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_dict.jl:892
0.055806,1,1,CloudMicrophysics.Parameters.Chen2022VelTypeLargeIce /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/CloudMicrophysics/2oGgm/src/parameters/TerminalVelocity.jl:275
0.055608,115,115,UnrolledUtilities._unrolled_any /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:15
0.055386,250,120,ClimaCore.Utilities.auto_broadcasted /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Utilities/auto_broadcaster.jl:150
0.055351,2,2,ClimaCore.Grids.fd_geometry_data /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Grids/finitedifference.jl:84
0.055134,1,1,ClimaAtmos.get_horizontal_tendencies /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/config/era5_observations_to_forcing_file.jl:173
0.054974,2,2,ClimaAtmos.#_#719 /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/simulation/AtmosSimulations.jl:337
0.054794,612,42,Base.#invokelatest#2 essentials.jl:1052
0.054688,81,81,Base.setindex! dict.jl:354
0.054575,71,69,Base.ht_keyindex dict.jl:236
0.053912,695,161,Base.checkbounds abstractarray.jl:697
0.053900,333,257,Base.Fix1 operators.jl:1123
0.052974,3,3,ClimaAtmos.set_microphysics_tendency_cache! /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/cache/microphysics_cache.jl:814
0.052208,215,215,UnrolledUtilities._unrolled_any /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:17
