t_seconds,error_n1_ρq_tot,increment_ρq_tot,error_n1_ρq_tag_pbl,increment_ρq_tag_pbl,error_n1_ρq_tag_free,increment_ρq_tag_free,error_n1_ρq_tag_evap,increment_ρq_tag_evap,error_n2_ρq_tot,increment_ρq_tot,error_n2_ρq_tag_pbl,increment_ρq_tag_pbl,error_n2_ρq_tag_free,increment_ρq_tag_free,error_n2_ρq_tag_evap,increment_ρq_tag_evap
5520.0,1.9753002502754936e-8,4.489184356332453e-5,1.9716233533703513e-8,4.4886304153330346e-5,6.67213748134724e-11,4.145170900376124e-6,1.1131078237578504e-9,4.489184356333183e-5,1.4014579790535047e-10,4.489184356332453e-5,1.4008707131639912e-10,4.4886304153330346e-5,1.0254897391100422e-13,4.145170900376124e-6,3.885375346203071e-12,4.489184356333183e-5
5640.0,2.578180357313628e-8,4.6101250603017116e-5,2.572464672202372e-8,4.609556195874769e-5,9.517125816006496e-11,4.308140291828827e-6,2.178836771940055e-9,4.610125060300265e-5,2.004698072166241e-10,4.6101250603017116e-5,2.0037051771525156e-10,4.609556195874769e-5,1.635887925952664e-13,4.308140291828827e-6,4.886775925522671e-12,4.610125060300265e-5
5760.0,3.425253054928411e-8,4.731202746810996e-5,3.4163136216693696e-8,4.7306189420526055e-5,1.3748322519715728e-10,4.4770530203035225e-6,4.067709354919362e-9,4.731202746808981e-5,2.9386225908129743e-10,4.731202746810996e-5,2.9369121647143497e-10,4.7306189420526055e-5,2.644285826618403e-13,4.4770530203035225e-6,5.795811716685592e-12,4.731202746808981e-5
5880.0,4.8157374425619715e-8,4.852384419843468e-5,4.800852468180431e-8,4.85178566192438e-5,2.1188097710585811e-10,4.655347380931182e-6,7.852119379011342e-9,4.852384419843529e-5,4.59763628054237e-10,4.852384419843468e-5,4.594385540780285e-10,4.85178566192438e-5,4.640806235231564e-13,4.655347380931182e-6,5.36306309422071e-12,4.852384419843529e-5
6000.0,7.311720210605307e-8,4.973637543960568e-5,7.28431733335677e-8,4.973023824065246e-5,3.6036287634092333e-10,4.848774373381069e-6,1.648731412937413e-8,4.973637543960823e-5,7.6379861668975e-10,4.973637543960568e-5,7.630863447467892e-10,4.973023824065246e-5,9.229391161582386e-13,4.848774373381069e-6,3.9843667873715395e-12,4.973637543960823e-5
6120.0,1.1825384325299006e-7,5.094930023632514e-5,1.1769116593331172e-7,5.094301336900582e-5,6.843633772754375e-10,5.06522955295537e-6,3.809818353868894e-8,5.094930023631593e-5,1.2965954368893255e-9,5.094930023632514e-5,1.2947575470174152e-9,5.094301336900582e-5,2.1503886715933464e-12,5.06522955295537e-6,5.801146498355623e-11,5.094930023631593e-5
6240.0,1.933932787154536e-7,5.216230184451524e-5,1.9214289336759574e-7,5.215586529937843e-5,1.4228739421906285e-9,5.3144578539852755e-6,9.406389935163301e-8,5.216230184450003e-5,2.1391210781074283e-9,5.216230184451524e-5,2.1335802817931084e-9,5.215586529937843e-5,5.97484689865796e-12,5.3144578539852755e-6,3.145759305820634e-10,5.216230184450003e-5
6360.0,2.9527111335778797e-7,7.081597614965688e-5,2.9244920890022163e-7,7.136527103306775e-5,3.063875529971419e-9,5.605346244822747e-6,2.3303874026518673e-7,5.3375067560346616e-5,3.288208300143011e-9,7.081597614965688e-5,3.2700514937854962e-9,7.136527103306775e-5,1.871322847849468e-11,5.605346244822747e-6,1.3735192043777049e-9,5.3375067560346616e-5
6480.0,3.841995070154896e-7,0.00011084429251374115,3.7820794375289725e-7,0.00011157533321058243,6.328071879629708e-9,5.9383780057679475e-6,5.382336709320936e-7,5.458728856465518e-5,4.595703499159009e-9,0.00011084429251374115,4.538976052939185e-9,0.00011157533321058243,5.745839445954326e-11,5.9383780057679475e-6,4.9874378491691335e-9,5.458728856465518e-5
6600.0,3.9165629675257486e-7,0.0001598720397006344,3.8051255110895644e-7,0.00016081418921538352,1.4703425558610449e-8,6.373179124772944e-6,1.0842119896813886e-6,5.579866495073199e-5,5.8651593141115815e-9,0.0001598720397006344,5.720973628209498e-9,0.00016081418921538352,2.2314204358381595e-10,6.373179124772944e-6,1.4126851809357299e-8,5.579866495073199e-5
6720.0,4.215305050505381e-7,0.00030086366802286625,3.8966357954625713e-7,0.0003024938538858518,5.985646852507727e-8,7.631675140142455e-6,3.325454659182282e-6,0.0001203192648787159,1.0241873698354878e-8,0.00030086366802286625,9.555279160152332e-9,0.0003024938538858518,1.7675597182191228e-9,7.631675140142455e-6,7.278184047766091e-8,0.0001203192648787159
