interval_start_day,set,quantity,rate_kg_m2_per_day_or_stock_kg_m2,cells
7.5,P_adj,inc_left,0.0,0
7.5,P_adj,inc_moved,0.0,0
7.5,P_adj,led_fix_pbl,0.0,0
7.5,P_adj,led_fix_free,0.0,0
7.5,P_adj,led_fix_evap,0.0,0
7.5,P_adj,led_fix_fcg,0.0,0
7.5,P_adj,led_inc_pbl,0.0,0
7.5,P_adj,led_inc_free,0.0,0
7.5,P_adj,led_inc_evap,0.0,0
7.5,P_adj,led_inc_fcg,0.0,0
7.5,P_adj,overclaim,0.0,0
7.5,P_far,rescale,0.0,60
7.5,P_far,empty,0.0,60
7.5,P_far,repair,0.0,60
7.5,P_far,repairnet,0.0,60
7.5,P_far,inc_left,1.1444313638094981e-11,60
7.5,P_far,inc_moved,0.2997684204732643,60
7.5,P_far,led_fix_pbl,0.0,60
7.5,P_far,led_fix_free,0.0,60
7.5,P_far,led_fix_evap,0.0,60
7.5,P_far,led_fix_fcg,0.0,60
7.5,P_far,led_inc_pbl,0.24340851072193087,60
7.5,P_far,led_inc_free,0.06120578411030663,60
