inclusive_s,method,signature
0.009686,ClimaAtmos.ColumnGrid /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/simulation/grids.jl:110,Tuple{typeof(Core.kwcall); @NamedTuple{context::ClimaComms.SingletonCommsContext{ClimaComms.CPUSingleThreaded}; z_elem::Int64; z_max::Float64; z_stretch::Bool; dz_bottom::Float64}; typeof(ClimaAtmos.ColumnGrid); Type{Float64}}
0.009426,ClimaAtmos.any_reltype /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24,Tuple{typeof(Core.kwcall); @NamedTuple{warn::Bool}; typeof(ClimaAtmos.any_reltype); Bool; @NamedTuple{prof_ug::Returns{Float64}; prof_vg::Returns{Float64}; coriolis_param::Float64}; String; Tuple{DataType; DataType}; Tuple{String; Symbol; String; Symbol}}
0.009255,ClimaTimeSteppers.#37 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaTimeSteppers/DdUag/src/integrators.jl:528,Tuple{ClimaTimeSteppers.var"#37#38"; ClimaCore.Fields.FieldVector{Float64; @NamedTuple{c::ClimaCore.Fields.Field{ClimaCore.DataLayouts.VIJFH{@NamedTuple{ρ::Float64; uₕ::ClimaCore.Geometry.Covariant12Vector{Float64}; ρe_tot::Float64; ρq_tot::Float64; ρq_lcl::Float64; ρq_icl::Float64; ρq_rai::Float64; ρq_sno::Float64; ρe_src_strat::Float64; ρe_src_tropo::Float64; ρe_src_rad::Float64; ρe_src_sfc::Flo
0.008898,ClimaTimeSteppers.ClimaODEFunction /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaTimeSteppers/DdUag/src/functions.jl:135,Tuple{typeof(Core.kwcall); @NamedTuple{T_exp_T_lim!::typeof(ClimaAtmos.remaining_tendency!); T_imp!::ClimaTimeSteppers.ODEFunction{typeof(ClimaAtmos.implicit_tendency!); ClimaAtmos.Jacobian{ClimaAtmos.ManualSparseJacobian; @NamedTuple{matrix::ClimaCore.MatrixFields.FieldMatrixWithSolver{ClimaCore.MatrixFields.FieldMatrix{ClimaCore.MatrixFields.FieldMatrixKeys{Tuple{Tuple{ClimaCore.MatrixFields.Fie
0.008796,StaticArrays.convert /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/StaticArrays/k7bbZ/src/convert.jl:207,Tuple{typeof(convert); Type{StaticArraysCore.SVector{5}}; Vector{Float64}}
0.008679,ClimaCore.DataLayouts.setindex! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/indexing.jl:159,Tuple{typeof(setindex!); ClimaCore.DataLayouts.VIJFH{ClimaCore.Geometry.ZPoint{Float64}; 1000; 1; 1; 1; ClimaCore.DataLayouts.ThisThreadPool; Array{Float64; 5}}; ClimaCore.Geometry.ZPoint{Float64}; Int64}
0.008446,ClimaAtmos.any_reltype /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24,Tuple{typeof(Core.kwcall); @NamedTuple{warn::Bool}; typeof(ClimaAtmos.any_reltype); Bool; ClimaAtmos.SGSQuadrature{3; StaticArraysCore.SVector{3; Float64}; StaticArraysCore.SVector{3; Float64}; ClimaAtmos.GaussianSGS; Float64}; String; Tuple{DataType; DataType}; Tuple{String; Symbol; String; Symbol}}
0.008435,Base.all reduce.jl:1193,Tuple{typeof(all); Base.Generator{Base.ValueIterator{Dict{String; Any}}; TOML.Internals.Printer.var"#4#6"}}
0.008227,Base.map abstractarray.jl:3371,Tuple{typeof(map); Function; Vector{ClimaAtmos.EnergySourceTag}}
0.008185,ClimaTimeSteppers.initialize /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaTimeSteppers/DdUag/src/integrators.jl:541,Tuple{ClimaTimeSteppers.var"#initialize#39"{ClimaTimeSteppers.NonInterpolatingSavingAffect{ClimaUtilities.TimeManager.ITime{Int64; Dates.Second; Dates.DateTime}; ClimaCore.Fields.FieldVector{Float64; @NamedTuple{c::ClimaCore.Fields.Field{ClimaCore.DataLayouts.VIJFH{@NamedTuple{ρ::Float64; uₕ::ClimaCore.Geometry.Covariant12Vector{Float64}; ρe_tot::Float64; ρq_tot::Float64; ρq_lcl::Float64; ρq_icl::
0.008151,Base.Iterators.pairs iterators.jl:279,Tuple{typeof(pairs); @NamedTuple{topography_flag::ClimaAtmos.IgnoreDerivative; diffusion_flag::ClimaAtmos.UseDerivative}}
0.008093,StaticArrays.convert /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/StaticArrays/k7bbZ/src/convert.jl:207,Tuple{typeof(convert); Type{StaticArraysCore.SVector{30; Float64}}; Vector{Float64}}
0.007374,ClimaAtmos.any_reltype /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24,Tuple{typeof(Core.kwcall); @NamedTuple{warn::Bool}; typeof(ClimaAtmos.any_reltype); Bool; ClimaAtmos.EnergySourceTag{:new_tropo; ClimaAtmos.TanhAltitudeRegion{Float64}; NTuple{8; Symbol}}; String; Tuple{DataType; DataType}; Tuple{String; Symbol; String; Symbol; String; Symbol; String; Int64}}
