exclusive_s,inferences,specializations,method
0.424671,377,371,ClimaCore.MatrixFields.getindex /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_dict.jl:137
0.424372,12492,9250,Base.Generator generator.jl:33
0.416429,3,3,ClimaAtmos.set_microphysics_tendency_cache! /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/cache/microphysics_cache.jl:953
0.416302,4911,2352,Base.Broadcast.Broadcasted broadcast.jl:176
0.410794,1649,1585,ClimaCore.Utilities.Unrolled.unrolled_tuple_map /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Utilities/Utilities.jl:137
0.409419,509,509,UnrolledUtilities._unrolled_any /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:15
0.396746,141,79,ClimaParams.get_parameter_values /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaParams/9BD0g/src/ClimaParams.jl:257
0.396204,40,21,ClimaCore.DataLayouts.set_struct! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/struct_storage.jl:207
0.391178,4764,4731,UnrolledUtilities.unrolled_reduce /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:176
0.383156,852,658,Base.iterate generator.jl:43
0.382438,3654,2074,Base.tail essentials.jl:514
0.369494,4,4,ClimaAtmos.set_prognostic_edmf_precomputed_quantities_explicit_closures! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/NVTX/IqPon/src/macro.jl:189
0.367944,57,23,ClimaCore.DataLayouts.get_struct /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/struct_storage.jl:263
0.362699,140,77,Base.in operators.jl:1302
0.362310,51,50,ClimaCore.MatrixFields.partition_blocks /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_matrix_solver.jl:108
0.356565,4,4,ClimaAtmos.set_sgs_moments_and_cloud_fraction! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/NVTX/IqPon/src/macro.jl:189
0.324591,281,223,Base.collect array.jl:784
0.314597,374,343,UnrolledUtilities._unrolled_reduce /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:60
0.310981,4,4,ClimaAtmos.set_prognostic_edmf_precomputed_quantities_environment! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/NVTX/IqPon/src/macro.jl:189
0.298972,4,4,Dates.parse /dss/dsshome1/0D/di38kez/.julia/juliaup/julia-1.11.9+0.x64.linux.gnu/share/julia/stdlib/v1.11/Dates/src/parse.jl:281
0.294687,3,2,CreateParametersExt.ThermodynamicsParameters /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/Thermodynamics/keokW/ext/CreateParametersExt.jl:9
0.291713,5620,5617,UnrolledUtilities.unrolled_in /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:235
0.288714,296,151,Base.Broadcast._getindex broadcast.jl:675
0.287051,273,166,ClimaAtmos.#any_reltype#1 /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24
0.284940,367,271,Base.collect_to! array.jl:844
0.275389,21,21,ClimaCore.Operators._serial_copyto! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Operators/finitedifference.jl:3144
0.272020,233,131,ClimaCore.DataLayouts.property_view /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/DataLayouts.jl:306
0.268952,35,35,ClimaCore.MatrixFields.wrapped_prop_names /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name.jl:102
0.266189,145,145,UnrolledUtilities.unrolled_split /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:413
0.265914,5150,5150,ClimaCore.MatrixFields.#127 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_dict.jl:140
0.259377,78,78,ClimaCore.MatrixFields.intersect /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:106
0.256657,40,24,LLVM.Interop.unsafe_load /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/LLVM/N6lMx/src/interop/pointer.jl:87
0.252944,4,4,ClimaAtmos.set_implicit_precomputed_quantities! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/NVTX/IqPon/src/macro.jl:189
